thread_count,elements_count,time_taken
1,5000,146
2,5000,145
3,5000,141
4,5000,142
5,5000,143
6,5000,146
7,5000,163
8,5000,163
9,5000,164
10,5000,162
11,5000,162
12,5000,180
1,10000,552
2,10000,545
3,10000,556
4,10000,556
5,10000,541
6,10000,542
7,10000,605
8,10000,571
9,10000,596
10,10000,546
11,10000,604
12,10000,618
1,15000,1216
2,15000,1228
3,15000,1205
4,15000,1202
5,15000,1205
6,15000,1198
7,15000,1274
8,15000,1281
9,15000,1247
10,15000,1231
11,15000,1276
12,15000,1289
1,20000,2148
2,20000,2146
3,20000,2121
4,20000,2134
5,20000,2137
6,20000,2120
7,20000,2177
8,20000,2174
9,20000,2171
10,20000,2189
11,20000,2176
12,20000,2236
1,25000,3333
2,25000,3334
3,25000,3350
4,25000,3326
5,25000,3311
6,25000,3539
7,25000,3366
8,25000,3359
9,25000,3323
10,25000,3346
11,25000,3340
12,25000,3376
1,30000,4763
2,30000,4759
3,30000,4754
4,30000,4768
5,30000,4776
6,30000,4727
7,30000,4779
8,30000,4750
9,30000,4780
10,30000,4777
11,30000,4786
12,30000,4811
1,35000,6463
2,35000,6455
3,35000,6466
4,35000,6475
5,35000,6440
6,35000,6469
7,35000,6477
8,35000,6486
9,35000,6473
10,35000,6501
11,35000,6552
12,35000,6536
1,40000,8408
2,40000,8408
3,40000,8405
4,40000,8432
5,40000,8444
6,40000,8416
7,40000,8442
8,40000,8449
9,40000,8419
10,40000,8407
11,40000,8400
12,40000,8460
1,45000,10684
2,45000,10741
3,45000,10628
4,45000,10672
5,45000,10702
6,45000,10733
7,45000,10702
8,45000,10683
9,45000,10723
10,45000,10697
11,45000,10684
12,45000,10847
1,50000,13240
2,50000,13137
3,50000,13214
4,50000,13201
5,50000,13173
6,50000,13238
7,50000,13214
8,50000,13263
9,50000,13222
10,50000,13158
11,50000,13180
12,50000,13239
