elements_count,time_taken,cycle_num,chunk_size
5000,212,1,1
5000,188,1,10
5000,189,1,11
5000,188,1,12
5000,187,1,13
5000,191,1,14
5000,189,1,15
5000,187,1,16
5000,187,1,17
5000,188,1,18
5000,188,1,19
5000,203,1,2
5000,188,1,20
5000,188,1,21
5000,188,1,22
5000,191,1,23
5000,188,1,24
5000,188,1,3
5000,191,1,4
5000,189,1,5
5000,188,1,6
5000,191,1,7
5000,189,1,8
5000,223,1,9
5000,188,2,1
5000,203,2,10
5000,385,2,11
5000,213,2,12
5000,197,2,13
5000,186,2,14
5000,188,2,15
5000,189,2,16
5000,212,2,17
5000,322,2,18
5000,190,2,19
5000,203,2,2
5000,203,2,20
5000,197,2,21
5000,217,2,22
5000,191,2,23
5000,197,2,24
5000,198,2,3
5000,195,2,4
5000,192,2,5
5000,197,2,6
5000,196,2,7
5000,191,2,8
5000,198,2,9
5000,195,3,1
5000,190,3,10
5000,199,3,11
5000,213,3,12
5000,199,3,13
5000,197,3,14
5000,195,3,15
5000,193,3,16
5000,191,3,17
5000,190,3,18
5000,188,3,19
5000,190,3,2
5000,191,3,20
5000,194,3,21
5000,199,3,22
5000,189,3,23
5000,194,3,24
5000,193,3,3
5000,200,3,4
5000,193,3,5
5000,192,3,6
5000,192,3,7
5000,190,3,8
5000,193,3,9
5000,187,4,1
5000,174,4,10
5000,172,4,11
5000,174,4,12
5000,173,4,13
5000,180,4,14
5000,189,4,15
5000,173,4,16
5000,174,4,17
5000,199,4,18
5000,181,4,19
5000,202,4,2
5000,182,4,20
5000,170,4,21
5000,172,4,22
5000,177,4,23
5000,179,4,24
5000,183,4,3
5000,181,4,4
5000,186,4,5
5000,184,4,6
5000,176,4,7
5000,175,4,8
5000,179,4,9
5000,203,5,1
5000,282,5,10
5000,195,5,11
5000,204,5,12
5000,205,5,13
5000,195,5,14
5000,191,5,15
5000,190,5,16
5000,197,5,17
5000,195,5,18
5000,192,5,19
5000,196,5,2
5000,209,5,20
5000,194,5,21
5000,191,5,22
5000,191,5,23
5000,193,5,24
5000,192,5,3
5000,189,5,4
5000,191,5,5
5000,191,5,6
5000,198,5,7
5000,190,5,8
5000,191,5,9
5000,190,6,1
5000,191,6,10
5000,199,6,11
5000,195,6,12
5000,191,6,13
5000,192,6,14
5000,196,6,15
5000,201,6,16
5000,193,6,17
5000,195,6,18
5000,193,6,19
5000,243,6,2
5000,197,6,20
5000,210,6,21
5000,197,6,22
5000,205,6,23
5000,201,6,24
5000,199,6,3
5000,204,6,4
5000,200,6,5
5000,200,6,6
5000,273,6,7
5000,200,6,8
5000,200,6,9
15000,1577,1,1
15000,1580,1,10
15000,1576,1,11
15000,1574,1,12
15000,1578,1,13
15000,1575,1,14
15000,1576,1,15
15000,1592,1,16
15000,1580,1,17
15000,1572,1,18
15000,1611,1,19
15000,1567,1,2
15000,1579,1,20
15000,1578,1,21
15000,1574,1,22
15000,1576,1,23
15000,1580,1,24
15000,1578,1,3
