elements_count,time_taken,thread_count
1000,37,1
1000,70,2
1000,79,3
1000,77,4
1000,84,5
1000,112,6
1000,131,7
1000,173,8
1000,179,9
1000,219,10
1000,248,11
1000,299,12
2000,68,1
2000,73,2
2000,96,3
2000,109,4
2000,120,5
2000,104,6
2000,153,7
2000,183,8
2000,205,9
2000,230,10
2000,256,11
2000,274,12
3000,160,1
3000,201,2
3000,215,3
3000,206,4
3000,149,5
3000,184,6
3000,211,7
3000,207,8
3000,228,9
3000,259,10
3000,278,11
3000,322,12
4000,260,1
4000,368,2
4000,420,3
4000,338,4
4000,270,5
4000,234,6
4000,261,7
4000,253,8
4000,291,9
4000,320,10
4000,336,11
4000,361,12
5000,410,1
5000,612,2
5000,622,3
5000,588,4
5000,387,5
5000,363,6
5000,317,7
5000,343,8
5000,345,9
5000,426,10
5000,385,11
5000,439,12
6000,531,1
6000,668,2
6000,710,3
6000,786,4
6000,568,5
6000,519,6
6000,430,7
6000,408,8
6000,420,9
6000,463,10
6000,478,11
6000,520,12
7000,765,1
7000,1000,2
7000,979,3
7000,952,4
7000,833,5
7000,673,6
7000,597,7
7000,524,8
7000,500,9
7000,513,10
7000,553,11
7000,587,12
8000,1088,1
8000,1039,2
8000,1080,3
8000,1214,4
8000,921,5
8000,859,6
8000,715,7
8000,708,8
8000,596,9
8000,603,10
8000,631,11
8000,629,12
9000,1113,1
9000,1611,2
9000,1234,3
9000,1470,4
9000,1287,5
9000,1052,6
9000,961,7
9000,871,8
9000,768,9
9000,709,10
9000,721,11
9000,743,12
10000,1179,1
10000,1756,2
10000,1645,3
10000,1600,4
10000,1500,5
10000,1438,6
10000,995,7
10000,1040,8
10000,1002,9
10000,882,10
10000,874,11
10000,945,12
11000,1527,1
11000,2062,2
11000,1952,3
11000,1910,4
11000,1658,5
11000,1542,6
11000,1195,7
11000,1179,8
11000,1130,9
11000,1062,10
11000,1063,11
11000,1063,12
12000,1710,1
12000,1906,2
12000,2173,3
12000,2081,4
12000,2069,5
12000,1741,6
12000,1433,7
12000,1373,8
12000,1275,9
12000,1254,10
12000,1277,11
12000,1305,12
13000,1799,1
13000,2623,2
13000,2615,3
13000,2561,4
13000,2238,5
13000,1952,6
13000,1604,7
13000,1561,8
13000,1477,9
13000,1343,10
13000,1364,11
13000,1434,12
14000,2219,1
14000,2995,2
14000,2731,3
14000,2631,4
14000,2537,5
14000,2276,6
14000,1898,7
14000,1789,8
14000,1708,9
14000,1631,10
14000,1674,11
14000,1631,12
15000,2397,1
15000,3268,2
15000,3071,3
15000,2976,4
15000,2803,5
15000,2458,6
15000,2131,7
15000,1989,8
15000,1858,9
15000,1785,10
15000,1767,11
15000,1742,12
