thread_count,elements_count,time_taken,letter
2,5000,297,G
3,5000,254,G
4,5000,236,G
5,5000,213,G
6,5000,225,G
7,5000,222,G
8,5000,215,G
9,5000,211,G
10,5000,204,G
11,5000,204,G
12,5000,291,G
2,5000,294,H
3,5000,254,H
4,5000,231,H
5,5000,216,H
6,5000,204,H
7,5000,211,H
8,5000,218,H
9,5000,208,H
10,5000,206,H
11,5000,200,H
12,5000,235,H
2,5000,295,I
3,5000,255,I
4,5000,235,I
5,5000,215,I
6,5000,230,I
7,5000,224,I
8,5000,214,I
9,5000,208,I
10,5000,186,I
11,5000,202,I
12,5000,221,I
2,5000,294,J
3,5000,253,J
4,5000,234,J
5,5000,215,J
6,5000,201,J
7,5000,219,J
8,5000,214,J
9,5000,206,J
10,5000,205,J
11,5000,202,J
12,5000,232,J
2,5000,310,L
3,5000,267,L
4,5000,248,L
5,5000,238,L
6,5000,222,L
7,5000,214,L
8,5000,207,L
9,5000,200,L
10,5000,193,L
11,5000,196,L
12,5000,222,L
2,5000,300,M
3,5000,267,M
4,5000,236,M
5,5000,223,M
6,5000,211,M
7,5000,231,M
8,5000,220,M
9,5000,213,M
10,5000,207,M
11,5000,203,M
12,5000,246,M
2,5000,253,N
3,5000,214,N
4,5000,206,N
5,5000,189,N
6,5000,181,N
7,5000,189,N
8,5000,195,N
9,5000,187,N
10,5000,190,N
11,5000,192,N
12,5000,277,N
2,5000,303,O
3,5000,257,O
4,5000,235,O
5,5000,219,O
6,5000,206,O
7,5000,212,O
8,5000,200,O
9,5000,197,O
10,5000,189,O
11,5000,197,O
12,5000,224,O
2,5000,301,P
3,5000,255,P
4,5000,237,P
5,5000,217,P
6,5000,206,P
7,5000,205,P
8,5000,199,P
9,5000,196,P
10,5000,190,P
11,5000,189,P
12,5000,213,P
2,5000,311,R
3,5000,267,R
4,5000,244,R
5,5000,228,R
6,5000,222,R
7,5000,217,R
8,5000,205,R
9,5000,199,R
10,5000,194,R
11,5000,200,R
12,5000,264,R
2,5000,305,S
3,5000,256,S
4,5000,232,S
5,5000,215,S
6,5000,206,S
7,5000,220,S
8,5000,213,S
9,5000,206,S
10,5000,203,S
11,5000,199,S
12,5000,231,S
2,5000,252,T
3,5000,222,T
4,5000,198,T
5,5000,190,T
6,5000,182,T
7,5000,193,T
8,5000,188,T
9,5000,187,T
10,5000,190,T
11,5000,194,T
12,5000,264,T
2,5000,295,U
3,5000,254,U
4,5000,235,U
5,5000,214,U
6,5000,202,U
7,5000,203,U
8,5000,195,U
9,5000,190,U
10,5000,185,U
11,5000,183,U
12,5000,217,U
2,5000,295,V
3,5000,254,V
4,5000,234,V
5,5000,214,V
6,5000,205,V
7,5000,203,V
8,5000,195,V
9,5000,189,V
10,5000,187,V
11,5000,187,V
12,5000,222,V
2,15000,2605,G
3,15000,2246,G
4,15000,2025,G
5,15000,1883,G
