elements_count,time_taken,thread_count
100,0,2
100,0,3
100,0,4
100,0,5
100,0,6
100,0,7
100,1,8
100,1,9
100,0,10
100,1,11
100,1,12
120,0,2
120,0,3
120,0,4
120,1,5
120,0,6
120,1,7
120,1,8
120,1,9
120,1,10
120,1,11
120,1,12
140,0,2
140,0,3
140,1,4
140,1,5
140,1,6
140,1,7
140,1,8
140,1,9
140,1,10
140,1,11
140,2,12
160,1,2
160,1,3
160,1,4
160,1,5
160,1,6
160,1,7
160,1,8
160,1,9
160,1,10
160,1,11
160,1,12
180,1,2
180,1,3
180,1,4
180,1,5
180,1,6
180,1,7
180,1,8
180,1,9
180,1,10
180,1,11
180,2,12
200,1,2
200,1,3
200,1,4
200,1,5
200,1,6
200,1,7
200,1,8
200,1,9
200,2,10
200,2,11
200,2,12
220,1,2
220,1,3
220,1,4
220,1,5
220,1,6
220,1,7
220,1,8
220,2,9
220,1,10
220,2,11
220,2,12
240,1,2
240,1,3
240,1,4
240,1,5
240,1,6
240,1,7
240,2,8
240,1,9
240,2,10
240,2,11
240,2,12
260,1,2
260,1,3
260,2,4
260,1,5
260,1,6
260,1,7
260,2,8
260,2,9
260,2,10
260,1,11
260,3,12
280,2,2
280,1,3
280,1,4
280,2,5
280,2,6
280,2,7
280,2,8
280,2,9
280,2,10
280,2,11
280,3,12
300,2,2
300,2,3
300,2,4
300,2,5
300,2,6
300,2,7
300,2,8
300,2,9
300,3,10
300,2,11
300,3,12
320,2,2
320,2,3
320,2,4
320,2,5
320,3,6
320,2,7
320,3,8
320,2,9
320,2,10
320,3,11
320,3,12
340,2,2
340,2,3
340,2,4
340,2,5
340,2,6
340,2,7
340,2,8
340,2,9
340,3,10
340,3,11
340,3,12
360,2,2
360,2,3
360,2,4
360,2,5
360,3,6
360,3,7
360,2,8
360,4,9
360,3,10
360,4,11
360,4,12
380,2,2
380,2,3
380,3,4
380,2,5
380,2,6
380,3,7
380,3,8
380,4,9
380,4,10
380,3,11
380,4,12
400,3,2
400,3,3
400,3,4
400,3,5
400,3,6
400,3,7
400,3,8
400,4,9
400,3,10
400,4,11
400,5,12
420,3,2
420,3,3
420,3,4
420,3,5
420,3,6
420,3,7
420,3,8
420,3,9
420,3,10
420,5,11
